sample_name,sample_type,nucleotide_type,collection_date,collection_location,host_genus_species
RR034B_104_fecRa_S122,feces,RNA,2/16/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_105_fecRa_S124,feces,RNA,2/16/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_106_fecRa_S126,feces,RNA,2/16/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_108_fecRa_S144,feces,RNA,2/16/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_109_fecRa_S146,feces,RNA,2/16/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_110_fecRa_S148,feces,RNA,4/9/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_111_fecRa_S150,feces,RNA,4/9/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_112_fecRa_S152,feces,RNA,4/9/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_113_fecRa_S154,feces,RNA,4/9/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_114_fecRa_S170,feces,RNA,4/9/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_115_fecRa_S172,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_116_fecRa_S174,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_118_fecRa_S178,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_120_fecRa_S182,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_121_fecRa_S198,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_122_fecRa_S2,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_123_fecRa_S4,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_124_fecRa_S6,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
RR034B_125_fecRa_S8,feces,RNA,4/10/18,"Angavokely, Antananarivo, Analamanga, Madagascar",Eidolon dupreanum
