sample_name,sample_type,nucleotide_type,collection_date,collection_location,host_genus_species
RR034B_281_fecRa_S29,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_282_fecRa_S31,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_283_fecRa_S33,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_284_fecRa_S35,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_285_fecRa_S37,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_286_fecRa_S53,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_287_fecRa_S55,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_288_fecRa_S59,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_289_fecRa_S61,feces,RNA,9/12/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_290_fecRa_S63,feces,RNA,9/12/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_291_fecRa_S65,feces,RNA,12/13/18,"Mahialambo, Sofia, Madagascar",Pteropus rufus
RR034B_292_fecRa_S81,feces,RNA,12/13/18,"Mahialambo, Sofia, Madagascar",Pteropus rufus
RR034B_293_fecRa_S83,feces,RNA,12/14/18,"Mahialambo, Sofia, Madagascar",Pteropus rufus
RR034B_294_fecRa_S85,feces,RNA,12/16/18,"Mahialambo, Sofia, Madagascar",Pteropus rufus
RR034B_295_fecRa_S87,feces,RNA,12/17/18,"Mahialambo, Sofia, Madagascar",Pteropus rufus
RR034B_296_fecRa_S91,feces,RNA,12/18/18,"Mahialambo, Sofia, Madagascar",Pteropus rufus
RR034B_297_fecRa_S93,feces,RNA,12/18/18,"Mahialambo, Sofia, Madagascar",Pteropus rufus
