sampleid,sample_type,CoV,czb_id,roost_site,latitude_s,longitude_e,collection_date,species,bat_sex,unique_tag_id,recap,bat_age_class,young_of_year
MIZ235,feces,0,RR034B_285_fecRa,Maromizaha,-18.9623,48.4525,9/11/18,Rousettus madagascariensis,male,M78,no,A,no
MIZ238,feces,0,RR034B_286_fecRa,Maromizaha,-18.9623,48.4525,9/11/18,Rousettus madagascariensis,female,M81,no,NL,no
MIZ239,feces,0,RR034B_287_fecRa,Maromizaha,-18.9623,48.4525,9/11/18,Rousettus madagascariensis,male,M82,no,A,no
MIZ240,feces,1,RR034B_288_fecRa,Maromizaha,-18.9623,48.4525,9/11/18,Rousettus madagascariensis,male,M83,no,A,no
MIZ242,feces,0,RR034B_289_fecRa,Maromizaha,-18.9623,48.4525,9/12/18,Rousettus madagascariensis,male,M85,no,A,no
MIZ243,feces,0,RR034B_290_fecRa,Maromizaha,-18.9623,48.4525,9/12/18,Rousettus madagascariensis,male,M86,no,J,yes
MLB001,feces,0,RR034B_291_fecRa,Mahialambo,-18.1102,48.2098,12/13/18,Pteropus rufus,female,1366,no,L,no
MLB002,feces,0,RR034B_292_fecRa,Mahialambo,-18.1102,48.2098,12/13/18,Pteropus rufus,male,,no,J,yes
MLB003,feces,0,RR034B_293_fecRa,Mahialambo,-18.1102,48.2098,12/14/18,Pteropus rufus,male,,no,J,yes
MLB004,feces,0,RR034B_294_fecRa,Mahialambo,-18.1102,48.2098,12/16/18,Pteropus rufus,female,1367,no,NL,no
MLB005,feces,0,RR034B_295_fecRa,Mahialambo,-18.1102,48.2098,12/17/18,Pteropus rufus,male,1368,no,A,no
MLB006,feces,0,RR034B_296_fecRa,Mahialambo,-18.1102,48.2098,12/18/18,Pteropus rufus,female,1371,no,L,no
MLB007,feces,0,RR034B_297_fecRa,Mahialambo,-18.1102,48.2098,12/18/18,Pteropus rufus,female,,no,J,yes
